Rp_12673	Rp_10546
Rp_12684	Rp_12683
Rp_12783	Rp_12782
Rp_12805	Rp_8312
Rp_12811	Rp_12809
Rp_12934	Rp_6388
Rp_13035	Rp_5072
Rp_13041	Rp_4741
Rp_13077	Rp_6801
Rp_13102	Rp_13101
Rp_13146	Rp_13131
Rp_13174	Rp_9652
Rp_13175	Rp_9652
Rp_13176	Rp_9652
Rp_13177	Rp_9652
Rp_13207	Rp_13206
Rp_13242	Rp_13241
Rp_13479	Rp_13251
Rp_13542	Rp_5018
Rp_13616	Rp_12824
Rp_13624	Rp_12393
Rp_13852	Rp_471
Rp_13859	Rp_13858
Rp_13860	Rp_13858
Rp_13878	Rp_13877
Rp_13888	Rp_13886
Rp_13889	Rp_13888
Rp_13901	Rp_13899
Rp_13906	Rp_13897
Rp_13949	Rp_13947
Rp_14149	Rp_14148
Rp_14150	Rp_14148
Rp_14174	Rp_12772
Rp_14175	Rp_12772
Rp_14177	Rp_10063
Rp_14277	Rp_13956
Rp_14278	Rp_13956
Rp_14279	Rp_13956
Rp_14280	Rp_13956
Rp_14281	Rp_13956
Rp_14282	Rp_13956
Rp_14288	Rp_14287
Rp_14290	Rp_14289
Rp_14318	Rp_13792
Rp_14332	Rp_14108
Rp_14344	Rp_14343
Rp_14365	Rp_14206
Rp_14425	Rp_13616
Rp_14433	Rp_14431
Rp_14444	Rp_14415
Rp_14572	Rp_10372
Rp_14641	Rp_14640
Rp_14642	Rp_14641
Rp_14643	Rp_14642
Rp_14644	Rp_14643
Rp_14645	Rp_14644
Rp_14646	Rp_14645
Rp_14647	Rp_14646
Rp_14648	Rp_14647
Rp_14649	Rp_14648
Rp_14650	Rp_14649
Rp_14651	Rp_14650
Rp_14652	Rp_14651
Rp_14653	Rp_14652
Rp_14654	Rp_14653
Rp_14655	Rp_14654
Rp_14656	Rp_14655
Rp_14657	Rp_14656
Rp_14658	Rp_14657
Rp_14659	Rp_14658
Rp_14660	Rp_14659
Rp_14661	Rp_14660
Rp_14662	Rp_14661
Rp_14663	Rp_14662
Rp_14664	Rp_14663
Rp_14665	Rp_14664
Rp_14666	Rp_14665
Rp_14667	Rp_14666
Rp_14668	Rp_14667
Rp_14669	Rp_14668
Rp_14670	Rp_14669
Rp_14671	Rp_14670
Rp_14672	Rp_14671
Rp_14673	Rp_14672
Rp_14674	Rp_14673
Rp_14675	Rp_14674
Rp_14676	Rp_14675
Rp_14677	Rp_14676
Rp_14678	Rp_14677
Rp_14679	Rp_14678
Rp_14680	Rp_14679
Rp_14681	Rp_14680
Rp_14682	Rp_14681
Rp_14683	Rp_14682
Rp_14684	Rp_14683
Rp_14685	Rp_14684
Rp_14686	Rp_14685
Rp_14687	Rp_14686
Rp_14688	Rp_14687
Rp_14689	Rp_14688
Rp_14694	Rp_14640
Rp_14719	Rp_14717
Rp_14726	Rp_14718
Rp_14738	Rp_5736
Rp_14741	Rp_1321
Rp_14796	Rp_13013
Rp_14819	Rp_14344
Rp_14822	Rp_14442
Rp_14836	Rp_12688
Rp_14837	Rp_12688
Rp_14838	Rp_14510
Rp_14890	Rp_13608
Rp_14893	Rp_14869
Rp_14931	Rp_14925
Rp_14932	Rp_14925
Rp_14942	Rp_14937
Rp_15227	Rp_2702
Rp_15311	Rp_15310
Rp_15312	Rp_15310
Rp_15487	Rp_15485
Rp_15512	Rp_15510
Rp_15524	Rp_10143
Rp_15527	Rp_10142
Rp_15528	Rp_10142
Rp_15537	Rp_15536
Rp_15539	Rp_15536
Rp_15540	Rp_15536
Rp_15541	Rp_14167
Rp_15542	Rp_14167
Rp_15543	Rp_15536
Rp_15568	Rp_15562
Rp_15581	Rp_8255
Rp_15590	Rp_8102
Rp_15591	Rp_1229
Rp_15592	Rp_15590
Rp_15598	Rp_2945
Rp_15599	Rp_2945
Rp_15601	Rp_1224
Rp_15604	Rp_827
Rp_15617	Rp_1777
Rp_15620	Rp_1777
Rp_15621	Rp_827
Rp_15622	Rp_827
Rp_15632	Rp_823
Rp_15633	Rp_823
Rp_15655	Rp_2702
Rp_15656	Rp_792
Rp_15659	Rp_790
Rp_15662	Rp_15656
Rp_15714	Rp_15650
Rp_15719	Rp_15386
Rp_15759	Rp_14893
Rp_15772	Rp_14444
Rp_15791	Rp_13143
Rp_15823	Rp_13850
Rp_15836	Rp_5335
Rp_15989	Rp_5737
Rp_15996	Rp_15995
Rp_15998	Rp_15997
Rp_15999	Rp_15998
Rp_16001	Rp_16000
Rp_16002	Rp_13247
Rp_16018	Rp_11342
Rp_16058	Rp_13115
Rp_16108	Rp_16107
Rp_16109	Rp_16107
Rp_16113	Rp_13676
Rp_16118	Rp_15791
Rp_16124	Rp_16121
Rp_16128	Rp_16119
Rp_16146	Rp_16145
Rp_16234	Rp_14442
Rp_16235	Rp_14442
Rp_16247	Rp_15772
Rp_16248	Rp_16215
Rp_16293	Rp_15366
Rp_16386	Rp_12416
Rp_16488	Rp_16151
Rp_16524	Rp_16522
Rp_16526	Rp_954
Rp_16537	Rp_945
Rp_16539	Rp_955
Rp_16540	Rp_952
Rp_16543	Rp_956
Rp_16545	Rp_953
Rp_16665	Rp_16467
Rp_16669	Rp_16665
Rp_16677	Rp_16664
Rp_16699	Rp_16691
Rp_16700	Rp_16699
Rp_16701	Rp_13956
Rp_16703	Rp_16676
Rp_16712	Rp_9998
Rp_16741	Rp_16346
Rp_16742	Rp_16380
Rp_16746	Rp_16059
Rp_16761	Rp_16135
Rp_16815	Rp_13598
Rp_16854	Rp_16853
Rp_16872	Rp_15984
Rp_16873	Rp_15984
Rp_16887	Rp_16869
Rp_16897	Rp_1003
Rp_16910	Rp_16907
Rp_16974	Rp_16105
Rp_16975	Rp_16105
Rp_16976	Rp_16105
Rp_16977	Rp_16105
Rp_17026	Rp_16215
Rp_17041	Rp_17022
Rp_17046	Rp_16973
Rp_17047	Rp_16973
